value,coordinates,sensor_id,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
19.1,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-31T15:00:00Z,2024-04-01T00:00:00+09:00,2024-04-01T15:00:00Z,2024-04-02T00:00:00+09:00,9.0,10.199999809265137,17.0,19.5,22.25,25.700000762939453,26.0,19.125,4.573474407196045,24,24:00:00,16,16:00:00,67.0,67.0,2024-04-01T00:00:00Z,2024-04-01T09:00:00+09:00,2024-04-01T15:00:00Z,2024-04-02T00:00:00+09:00
18.9,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-01T15:00:00Z,2024-04-02T00:00:00+09:00,2024-04-02T15:00:00Z,2024-04-03T00:00:00+09:00,9.0,10.380000114440918,16.0,19.0,22.0,26.079999923706055,27.0,18.875,4.436141014099121,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-01T16:00:00Z,2024-04-02T01:00:00+09:00,2024-04-02T15:00:00Z,2024-04-03T00:00:00+09:00
9.29,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-02T15:00:00Z,2024-04-03T00:00:00+09:00,2024-04-03T15:00:00Z,2024-04-04T00:00:00+09:00,4.0,4.360000133514404,7.5,9.0,11.0,14.760000228881836,15.0,9.285714149475098,3.6839420795440674,24,24:00:00,7,07:00:00,29.0,29.0,2024-04-02T16:00:00Z,2024-04-03T01:00:00+09:00,2024-04-03T15:00:00Z,2024-04-04T00:00:00+09:00
20.8,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-03T15:00:00Z,2024-04-04T00:00:00+09:00,2024-04-04T15:00:00Z,2024-04-05T00:00:00+09:00,10.0,10.0,17.75,19.5,26.25,32.15999984741211,34.0,20.79166603088379,6.940612316131592,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-03T16:00:00Z,2024-04-04T01:00:00+09:00,2024-04-04T15:00:00Z,2024-04-05T00:00:00+09:00
20.8,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-04T15:00:00Z,2024-04-05T00:00:00+09:00,2024-04-05T15:00:00Z,2024-04-06T00:00:00+09:00,14.0,14.920000076293945,18.0,20.0,22.25,28.540000915527344,29.0,20.75,3.779233932495117,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-04T16:00:00Z,2024-04-05T01:00:00+09:00,2024-04-05T15:00:00Z,2024-04-06T00:00:00+09:00
23.9,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-05T15:00:00Z,2024-04-06T00:00:00+09:00,2024-04-06T15:00:00Z,2024-04-07T00:00:00+09:00,15.0,15.920000076293945,21.0,25.0,26.25,31.15999984741211,33.0,23.91666603088379,4.323009014129639,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-05T16:00:00Z,2024-04-06T01:00:00+09:00,2024-04-06T15:00:00Z,2024-04-07T00:00:00+09:00
27.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-06T15:00:00Z,2024-04-07T00:00:00+09:00,2024-04-07T15:00:00Z,2024-04-08T00:00:00+09:00,19.0,19.0,25.5,28.0,30.0,33.0,33.0,27.33333396911621,4.018074989318848,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-06T16:00:00Z,2024-04-07T01:00:00+09:00,2024-04-07T15:00:00Z,2024-04-08T00:00:00+09:00
31.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-07T15:00:00Z,2024-04-08T00:00:00+09:00,2024-04-08T15:00:00Z,2024-04-09T00:00:00+09:00,24.0,24.920000076293945,27.75,29.5,36.0,39.08000183105469,40.0,31.33333396911621,4.733476161956787,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-07T16:00:00Z,2024-04-08T01:00:00+09:00,2024-04-08T15:00:00Z,2024-04-09T00:00:00+09:00
20.4,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-08T15:00:00Z,2024-04-09T00:00:00+09:00,2024-04-09T15:00:00Z,2024-04-10T00:00:00+09:00,12.0,12.0,18.5,20.5,23.25,29.719999313354492,32.0,20.350000381469727,4.86961555480957,24,24:00:00,20,20:00:00,83.0,83.0,2024-04-08T16:00:00Z,2024-04-09T01:00:00+09:00,2024-04-09T15:00:00Z,2024-04-10T00:00:00+09:00
13.6,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-09T15:00:00Z,2024-04-10T00:00:00+09:00,2024-04-10T15:00:00Z,2024-04-11T00:00:00+09:00,10.0,10.0,11.0,13.0,15.0,19.540000915527344,20.0,13.583333015441895,2.9179604053497314,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-09T16:00:00Z,2024-04-10T01:00:00+09:00,2024-04-10T15:00:00Z,2024-04-11T00:00:00+09:00
